Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Izbicki, Rafael; Esteves, Luis Gustavo; ",Logical consistency in simultaneous statistical test procedures,Logic Journal of the IGPL,23,5,732-758,2015,Oxford University Press
"Izbicki, Rafael; Esteves, Luís Gustavo; Surinx, Dimitri; Fletcher, George HL; Gyssens, Marc; Leinders, Dirk; Van den Bussche, Jan; Van Gucht, Dirk; Vansummeren, Stijn; Wu, Yuqing; ",Tor Sandqvist,,,,,,
"Stern, Rafael B; de B. Pereira, Carlos A; ",A possible foundation for Blackwell’s Equivalence,AIP Conference Proceedings,1073,1,90-95,2008,American Institute of Physics
"Bonassi, Fernando; Stern, Rafael Bassi; Wechsler, Sergio; ",The gambler's fallacy: a bayesian approach,,,,,2008,
"SAMAWI, HM; PARARAI, M; MERCY, J; KUMARAN, M; DUNG, NT; THAO, TH; DINIZ, CAR; TUTIA, MH; LEITE, JG; BEENA, VT; ","MM ALI, J. WOO and S. NADARAJAH Some skew symmetric inverse reflected distributions.............................",,,,,,
"Salasar, Luis Ernesto Bueno; ",Eliminação de parâmetros perturbadores em um modelo de captura-recaptura,,,,,2011,
"Louzada, Francisco; Suzuki, Adriano K; Salasar, Luis EB; Ara, Anderson; Leite, José G; ",A Bayesian Approach to Predicting Football Match Outcomes Considering Time Effect Weight,Interdisciplinary Bayesian Statistics: EBEB 2014,,,149-162,2015,Springer International Publishing
"Salasar, Luis Ernesto Bueno; Leite, José Galvão; Neto, Francisco Louzada; ",A generalized negative binomial distribution based on an extended Poisson process,,,,,2010,
"NAGARAJAH, V; SUTRADHAR, BC; JOWAHEER, V; BISWAS, A; SALASAR, LEB; LEITE, JG; LOUZADA, F; PERICCHI, L; PEREIRA, C; NEMATOLLAHI, N; ","A. ASGHARZADEH, HS BAKOUCH, S. NADARAJAH and F. SHARAFI A new weighted Lindley distribution with application............................",,,,,,
"Zuanetti, Daiane Aparecida; Milan, Luis Aparecido; ",Data-driven reversible jump for qtl mapping,Genetics,202,1,25-36,2016,Oxford University Press
"Salasar, Luis Ernesto Bueno; ",O processo de Poisson estendido e aplicações,,,,,2007,
"Zuanetti, Daiane Aparecida; Milan, Luis Aparecido; ",Second-order autoregressive hidden Markov model,Brazilian Journal of Probability and Statistics,,,653-665,2017,Brazilian Statistical Association
"Zuanetti, Daiane Aparecida; Müller, Peter; Zhu, Yitan; Yang, Shengjie; Ji, Yuan; ",Bayesian nonparametric clustering for large data sets,Statistics and Computing,29,,203-215,2019,Springer US
"Zuanetti, Daiane Aparecida; Milan, Luis Aparecido; ",A generalized mixture model applied to diabetes incidence data,Biometrical Journal,59,4,826-842,2017,Wiley Online Library
"Franco, MAP; Viola, MLL; Salasar, LEB; ",Creating new copula models from given distributions,AIP Conference Proceedings,1558,1,1483-1486,2013,American Institute of Physics
"Zuanetti, Daiane Aparecida; ",Modelos HMM com dependência de segunda ordem: aplicação em genética,,,,,2006,Universidade Federal de São Carlos
"Salasara, Luis Ernesto Bueno; Leite, José Galvão; Louzada, Francisco; ",Likelihood-based inference for population size in a capture–recapture experiment with varying probabilities from occasion to occasion,Brazilian Journal of Probability and Statistics,,,47-69,2016,Brazilian Statistical Association
"Salasar, Luis Ernesto B; Leite, José Galvão; Louzada, Francisco; ",On the integrated maximum likelihood estimators for a closed population capture–recapture model with unequal capture probabilities,Statistics,49,6,1204-1220,2015,Taylor & Francis
"Zuanetti, Daiane Aparecida; ",Efficient Bayesian methods for mixture models with genetic applications,,,,,2016,"Ph. D. thesis, Department of Statistics, Federal University of São Carlos. 6 …"
"Louzada, Francisco; Suzuki, Adriano K; Salasar, Luis EB; Ara, Anderson; Leite, José G; ",SIMULATION-BASED METHODOLOGY FOR PREDICTING FOOTBALL MATCH OUTCOMES CONSIDERING EXPERTS'OPINIONS: THE 2010 AND 2014 FOOTBALL WORLD CUP CASES,Pesquisa Operacional,35,,577-598,2015,Sociedade Brasileira de Pesquisa Operacional
"Suzuki, Adriano K; Salasar, Luis Ernesto Bueno; Leite, JG; Louzada-Neto, Francisco; ",A Bayesian approach for predicting match outcomes: the 2006 (Association) Football World Cup,Journal of the Operational Research Society,61,10,1530-1539,2010,Taylor & Francis
